id	filename	md5	size	state
1048df9e-785f-44be-916b-b8eb0c73cfee	0e24bd28-e056-46e9-bb4a-67dff5a4e83c.FPKM-UQ.txt.gz	98aa0a1faea4c31211de7b2b768a0d42	526498	validated
10949712-01e6-4fb5-b1eb-a4ca02435107	1d2a319d-c437-4479-9df8-dfbb040070b2.FPKM-UQ.txt.gz	779620044176db2adcd8b6f3c68cb26e	530954	validated
10afbaca-228a-4c61-b650-ccebe3eefeed	f3701269-6698-4762-b3bb-5932e62ff08c.FPKM-UQ.txt.gz	a831e4136062187c6d3a7dd398041ce6	525309	validated
1113749b-6e13-4f74-92cd-440cec7102cc	a77ba833-350f-4efc-bcb9-40ded4b6b36f.FPKM-UQ.txt.gz	7624f759e3251b739e29e464406e1ec2	518577	validated
130f181d-170a-4b82-9844-4c7846c7cf28	2cc11440-ca73-417f-9130-82930f3a1152.FPKM-UQ.txt.gz	6dc7b5f15496938d2372dc92910318b1	523559	validated
133f1f02-6f81-44e2-91b7-9726ff9b279c	3cb0eafa-ff8c-4343-be3f-50ec7d429fc5.FPKM-UQ.txt.gz	4bcdff57a13f569e1a46b86faad80855	505309	validated
134456f1-1bd8-4cb7-b0a7-8b171132c095	042b37c5-7ba2-4731-8b16-5510cce257b4.FPKM-UQ.txt.gz	63d6fb27287bdeea6252475f6cdedc47	512897	validated
14436632-d227-48a7-812b-a60e5bec24ba	cf088e28-2649-4794-b2a9-e8b0213e600d.FPKM-UQ.txt.gz	53ad18b828fbe5e3fd30d0a4fca2bf14	537018	validated
197bb065-d364-4141-b122-3a5946e57151	c8fb3217-2cc9-47c0-84b6-b666c07624e6.FPKM-UQ.txt.gz	6020d3d2969e32f4cec0c3b11a47a188	536676	validated
19e52402-edc9-4bf0-8095-290c53e4edbd	a24d07c0-9b91-4538-96d2-f97544f4dbb0.FPKM-UQ.txt.gz	02743a210c6d07868dee56335f662f08	521605	validated
1ae64f77-6067-4b4a-af1a-6d40be4b9e79	755f981f-f957-48ec-9779-cf9887e19ab0.FPKM-UQ.txt.gz	6dc57978749a53d94203b52a0ee52a48	523480	validated
1aeaeeff-be1c-4fd5-bb87-5e3315e72af9	782e439b-0112-4cf3-ba4a-be5e5fe77778.FPKM-UQ.txt.gz	5c90c286f5ab97509e385fc5ff6ee806	513260	validated
